t,lat,lon,alt,v1,v2,v3,a1,a2,a3
1970,44.8381939771144,13.8086650146382,414739.863278562,-4053.72180752852,5550.64773900797,2639.25245838761,-5.13874146658375,-0.870841886048597,-6.0953329381218
1975,44.9943395610426,14.1872780221752,414784.612754665,-4079.35245544242,5546.21485349867,2608.73397585885,-5.11349010013188,-0.902307303325919,-6.11202751648477
1980,45.1490774786455,14.5680518362607,414829.11249051,-4104.85648365788,5541.62468008454,2578.13250871252,-5.08810022777004,-0.933761683166093,-6.12852669929019
1985,45.3023926650549,14.9509902181825,414873.356366897,-4130.23321788555,5536.87726417844,2547.44903521782,-5.06257263474321,-0.965204162718924,-6.14482997004537
1990,45.4542699921186,15.3360963849169,414917.338316672,-4155.48198773013,5531.97265528828,2516.68453622515,-5.03690811002475,-0.996633877164811,-6.16093681278571
1995,45.6046942720719,15.7233724887161,414961.052326019,-4180.60207806324,5526.91094382619,2485.83999516291,-5.01110745633154,-1.02804991509595,-6.17684671236606
2000,45.753650261371,16.1128206095053,415004.492435835,-4205.59282647485,5521.6921881928,2454.91639803214,-4.98517147380017,-1.05945140702137,-6.19255915496519
2005,45.9011226646852,16.5044422343704,415047.652743136,-4230.45357452661,5516.31645092317,2423.91473339824,-4.95910096908669,-1.09083748032359,-6.20807362877875
2010,46.0470961390517,16.8982377370181,415090.52740249,-4255.18361928026,5510.78383615726,2392.83599237889,-4.9328967660222,-1.12220721572173,-6.22338962487655
2015,46.1915552981974,17.2942073700985,415133.110627447,-4279.78231048905,5505.09441540444,2361.68116862715,-4.90655968732235,-1.15355973482744,-6.23850663819532
2020,46.3344847170241,17.6923507447006,415175.396691923,-4304.24900199188,5499.24826435617,2330.45125830948,-4.88009056410484,-1.18489415620124,-6.25342416862316
2025,46.4758689362598,18.092666309871,415217.379931566,-4328.58300340348,5493.24550100176,2299.1472600782,-4.8534902468733,-1.21620955292047,-6.26814172213868
2030,46.6156924672804,18.4951523450843,415259.054745026,-4352.783677016,5487.08621008623,2267.77017503805,-4.82675958500269,-1.24750503912363,-6.2826588119663
2035,46.7539397970971,18.899806439943,415300.415595133,-4376.85038933687,5480.77048057497,2236.3210067072,-4.79989943647767,-1.27877972708145,-6.29697495969943
2040,46.8905953935109,19.3066249739926,415341.457009974,-4400.78246294596,5474.29844439776,2204.80076097273,-4.77291067907707,-1.310032685742,-6.31108969635605
2045,47.0256437104389,19.7156041095516,415382.173583859,-4424.57927307154,5467.67019961804,2173.21044604103,-4.74579418758824,-1.34126302606468,-6.32500256333169
2050,47.1590691934053,20.1267392718698,415422.559978135,-4448.24019927655,5460.88584853441,2141.55107238384,-4.71855084379061,-1.37246985891443,-6.33871311321349
2055,47.2908562851997,20.540024629471,415462.610921856,-4471.76457748464,5453.94553704118,2109.82365268063,-4.69118154793972,-1.4036522543723,-6.35222091043333
2060,47.4209894317046,20.9554540876236,415502.321212358,-4495.15179619979,5446.84937652703,2078.02920175803,-4.66368719388284,-1.43480932561424,-6.36552553173934
2065,47.5494530878848,21.3730207691997,415541.685715646,-4518.40124834416,5439.5974826044,2046.16873652753,-4.63606867951682,-1.46594018741464,-6.37862656647297
2070,47.6762317239415,21.7927164958285,415580.699366692,-4541.5122834604,5432.19001507577,2014.24327592224,-4.60832691884937,-1.49704391602549,-6.39152361664908
2075,47.8013098316295,22.2145327822789,415619.35716959,-4564.48430354503,5424.6270985858,1982.25384083371,-4.58046281533802,-1.52811963139383,-6.40421629683732
2080,47.9246719307326,22.6384603183141,415657.654197638,-4587.31671504807,5416.90886197018,1950.20145404982,-4.55247727316161,-1.55916645613047,-6.41670423385836
2085,48.0463025756957,23.0644884509554,415695.585593301,-4610.00888126346,5409.03547881956,1918.08714019473,-4.52437121020647,-1.5901834758484,-6.42898706631092
2090,48.1661863624134,23.4926061800612,415733.146568143,-4632.56021775063,5401.00708691242,1885.91192567141,-4.49614552997913,-1.62116981961704,-6.44106444394349
2095,48.2843079351685,23.9228016414988,415770.332402688,-4654.97014451206,5392.82382817546,1853.67683860773,-4.46780113401433,-1.65212461936724,-6.45293602690616
